Время (с.)	Ошибка вычисления	Время CPU (с.)
7.168e-06	4.4853e-13	0
6.976e-06	6.9722e-13	0
7.072e-06	8.42215e-13	0
5.28e-06	2.1716e-12	0
5.344e-06	4.40625e-12	0
5.184e-06	9.28813e-12	0
6.944e-06	1.79088e-11	0
7.04e-06	3.68172e-11	0
1.1264e-05	7.55458e-11	0
2.0672e-05	1.41994e-10	0.001
4.2912e-05	2.72916e-10	0.001
8.208e-05	5.4243e-10	0.001
0.000162656	1.09725e-09	0.003
0.000323264	2.18865e-09	0.006
0.000644256	4.38539e-09	0.012
0.00128096	8.74491e-09	0.022
